name,pieces,price
Corner Garage,2569,"$199.99, 179.99€ | "
Ford Mustang,1471,"$149.99, 129.99€ | "
NASA Apollo 11 Lunar Lander,1087,"$99.99, 89.99€ | "
Gingerbread House,24,1477
Harley-Davidson Fat Boy,1023,"$99.99, 89.99€ | "
Woody & RC,69,"$9.99, 9.99€ | "
Duke Caboom's Stunt Show,120,"$19.99, 19.99€ | "
Buzz and Bo Peep's Playground Adventure,139,"$24.99, 24.99€ | "
RV Vacation,178,"$34.99, 34.99€ | "
Buzz & Woody's Carnival Mania!,230,"$49.99, 49.99€ | "
Carnival Thrill Coaster,98,"$19.99, 19.99€ | "
My First Tow Truck,11,"$9.99, 9.99€ | "
My First Balancing Animals,15,"$14.99, 14.99€ | "
My First Fun Puzzle,,"$19.99, 19.99€ | "
My First Car Creations,34,"$19.99, 19.99€ | "
Creative Fun,120,"$39.99, 34.99€ | "
Mickey's Vacation House,57,"$49.99, 49.99€ | "
Spider-Man vs. Electro,29,"$19.99, 19.99€ | "
Toy Story Train,21,"$19.99, 19.99€ | "
Emmet and Lucy's Visitors from the DUPLO Planet,53,"$29.99, 29.99€ | "
My First Minnie Build,10,"$9.99, 9.99€ | "
My First Mickey Build,9,"$9.99, 9.99€ | "
Frozen Ice Castle,59,"$49.99, 49.99€ | "
Police Bike,8,"$9.99, 9.99€ | "
Fire Truck,21,"$19.99, 19.99€ | "
Police Station,38,"$29.99, 29.99€ | "
Fire Station,76,"$49.99, 49.99€ | "
Baby Animals,9,"$9.99, 9.99€ | "
Tropical Island,73,"$59.99, 59.99€ | "
World Animals,121,"$99.99, 99.99€ | "
Plane,12,"$9.99, 9.99€ | "
Submarine Adventure,24,"$19.99, 19.99€ | "
Bricks and Ideas,123,"$9.99, 9.99€ | "
Basic Brick Set ,300,"$19.99, 19.99€ | "
Bricks and Eyes ,451,"$29.99, 29.99€ | "
Windows of Creativity,450,"$29.99, 29.99€ | "
Creative Fun,900,"$39.99, 34.99€ | "
Parts for Star Wars: Build Your Own Adventure Galactic Missions,66,
San Francisco,565,"$49.99, 49.99€ | "
Paris,649,"$49.99, 49.99€ | "
Trafalgar Square,1197,"$79.99, 79.99€ | "
Empire State Building,1767,"$129.99, 99.99€ | "
Minecraft Steve BigFig with Parrot,159,"$14.99, 14.99€ | "
Minecraft Alex BigFig with Chicken,160,"$14.99, 14.99€ | "
Minecraft Skeleton BigFig with Magma Cube,142,"$14.99, 14.99€ | "
The End Battle,222,"$19.99, 19.99€ "
Pirate Ship,386,"$39.99, 49.99€ | "
The Wool Farm,260,"$19.99, 19.99€ | "
The Blaze Bridge,372,"$29.99, 39.99€ | "
The Creeper Mine,834,"$79.99, 79.99€ | "
Corner Garage,2569,"$199.99, 179.99€ | "
Ford Mustang,1471,"$149.99, 129.99€ | "
NASA Apollo 11 Lunar Lander,1087,"$99.99, 89.99€ | "
Gingerbread House,24,1477
Harley-Davidson Fat Boy,1023,"$99.99, 89.99€ | "
Woody & RC,69,"$9.99, 9.99€ | "
Duke Caboom's Stunt Show,120,"$19.99, 19.99€ | "
Buzz and Bo Peep's Playground Adventure,139,"$24.99, 24.99€ | "
RV Vacation,178,"$34.99, 34.99€ | "
Buzz & Woody's Carnival Mania!,230,"$49.99, 49.99€ | "
Carnival Thrill Coaster,98,"$19.99, 19.99€ | "
My First Tow Truck,11,"$9.99, 9.99€ | "
My First Balancing Animals,15,"$14.99, 14.99€ | "
My First Fun Puzzle,,"$19.99, 19.99€ | "
My First Car Creations,34,"$19.99, 19.99€ | "
Creative Fun,120,"$39.99, 34.99€ | "
Mickey's Vacation House,57,"$49.99, 49.99€ | "
Spider-Man vs. Electro,29,"$19.99, 19.99€ | "
Toy Story Train,21,"$19.99, 19.99€ | "
Emmet and Lucy's Visitors from the DUPLO Planet,53,"$29.99, 29.99€ | "
My First Minnie Build,10,"$9.99, 9.99€ | "
My First Mickey Build,9,"$9.99, 9.99€ | "
Frozen Ice Castle,59,"$49.99, 49.99€ | "
Police Bike,8,"$9.99, 9.99€ | "
Fire Truck,21,"$19.99, 19.99€ | "
The Flintstones,748,"$59.99, 59.99€ | "
Steamboat Willie,751,"$89.99, 89.99€ | "
Tree House,3036,"$199.99, 199.99€ | "
Central Perk,1070,"$59.99, 59.99€ | "
My First Duck,6,
Town Rescue - {Random Bag},,
Town Rescue - Bird,,
Town Rescue - Fireman,,
Town Rescue - Cat,,
Town Rescue - Policewoman,,
Town Rescue - Dog,,
Emmet's 'Piece' Offering,44,
Fire ATV,39,
Sky Police Jetpack,33,$3.99 
Race Boat,33,
Popcorn Cart,43,
Space Satellite,36,
Naboo Starfighter,48,
Snowspeeder,49,
Steve and Creeper Set,36,
Tulips,90,
Emma's Bumper Cars,66,
Mia's Water Fun,,
Spider-Man's Mini Spider Crawler,73,
Iron Man and Dum-E,38,
Rex's Plantimal Ambush,32,
Podracer,58,
Lucy vs. Alien Invader,44,
Mini Master-Building MetalBeard,42,
Mini Master-Building Emmet,49,
Sam-X,56,
Ninja Workout,31,
Fire Flight,54,
Fish Free Builds - Make It Yours,39,
Pelican,62,$3.99 
Race Car,68,
Santa,67,
Star-Stuck Emmet,41,
SHAZAM!,5,
Obi-Wan Kenobi - Collectable Minifigure,,
Futuristic Flyer,157,"$14.99, 14.99€ | "
Dune Buggy,147,"$12.99, 12.99€ | "
Deep Sea Creatures,230,"$14.99, 14.99€ | "
Sunset Track Racer,221,"$19.99, 19.99€ | "
Underwater Robot,207,"$19.99, 19.99€ | "
Shuttle Transporter,341,"$24.99, 24.99€ | "
Helicopter Adventure,114,"$9.99, 9.99€ | "
Riverside Houseboat,396,"$39.99, 29.99€ | "
Race Plane,333,"$29.99, 29.99€ | "
Fairground Carousel,595,"$49.99, 49.99€ | "
Twin-Rotor Helicopter,569,"$59.99, 49.99€ | "
Townhouse Pet Shop & Café,969,"$79.99, 79.99€ | "
Outback Cabin,305,"$29.99, 29.99€ | "
Year of the Pig,152,
MSC Cruises,181,
Jet Fighter,23,
Caterpillar,48,
Viking Ship,54,
Ladybird,27,
Crane,64,
Frog,39,
Ice Cream Truck,,
Racing Car,,
Eagle,,
Battle of Hoth - 20th Anniversary Edition,195,
Avengers Tower,211,
Space Rocket Ride,154,
Newbury Juice Bar,127,
Sea Accessories,24,
Ninjago Minifigure Pack,59,"$12.99, 12.99€ | "
Spider-Man and the Museum Break-In,49,"$14.99, 14.99€ | "
Summer Celebration Minifigure Pack,45,"$12.99, 12.99€ | "
Mars Exploration Minifigure Pack,44,"$12.99, 12.99€ | "
